Dates,Open,Close,High,Low,Value,Volume,Number Ticks
2021-03-29 09:30:00,512.81,514.71,514.71,512.06,39193144,76408,195
2021-03-29 12:00:00,514.04,514.11,514.4,513.95,3579129,6961,43
2021-03-30 09:30:00,513.678,513.56,513.806,512.26,26976958,52624,82
2021-03-30 12:00:00,515.62,516.318,516.33,515.51,3997120.25,7746,45
2021-03-31 09:30:00,520.62,519.3,521.384,519.3,31451978,60437,70
2021-03-31 12:00:00,532.43,532.57,532.64,532.19,4444862.5,8348,73
2021-04-01 09:30:00,542.89,542.68,544,542.07,75096728,138308,411
2021-04-01 12:00:00,546.44,547.09,547.09,546.29,4025212.25,7364,44
2021-04-05 09:30:00,554.7,553.63,554.7,553.248,64270888,115904,220
2021-04-05 12:00:00,552.84,553.26,553.26,552.745,2473690.5,4473,28
2021-04-06 09:30:00,559.987,556.55,560,555.3,50648532,90513,123
2021-04-06 12:00:00,560.38,559.99,560.47,559.95,3325307.25,5935,31
2021-04-07 09:30:00,555.23,552.87,555.23,551.88,42159508,76027,126
2021-04-07 12:00:00,561.72,561.51,561.78,561.4,5705191.5,10159,52
2021-04-08 09:30:00,570.11,571.369,572.24,569.958,66511356,116518,257
2021-04-08 12:00:00,573.99,574,574.34,573.733,2489575,4337,31
2021-04-09 09:30:00,568.56,567.77,570,567.542,41735648,73276,155
2021-04-09 12:00:00,573.87,573.67,573.94,573.51,1444946.75,2518,24
2021-04-12 09:30:00,571.59,572.422,573,571.01,58044644,101528,205
2021-04-12 12:00:00,570.955,571.15,571.22,570.68,2181244,3820,29
2021-04-13 09:30:00,609.26,611.51,611.81,608.505,249962400,409937,902
2021-04-13 12:00:00,618.025,618.369,618.43,617.72,6490187,10501,55
2021-04-14 09:30:00,625,621.915,625.5,621.51,118412600,189563,376
2021-04-14 12:00:00,623,623.01,623.25,622.6,6384541.5,10249,65
2021-04-15 09:30:00,626.5,630.23,631.65,625.26,177542320,282705,882
2021-04-15 12:00:00,638.39,638.8,638.84,638.39,4282534.5,6705,58
2021-04-16 09:30:00,642.123,646.4,646.63,642.123,202419760,314334,453
2021-04-16 12:00:00,639,639.8,639.81,639,11753742,18382,113
2021-04-19 09:30:00,621.462,623.38,624.937,620.42,126297496,203007,501
2021-04-19 12:00:00,616.155,615.91,616.195,615.71,2645749.25,4295,26
2021-04-20 09:30:00,612.93,612.9,614.89,612,58269116,95043,153
2021-04-20 12:00:00,601.26,601.68,601.92,601.204,4785080.5,7955,43
2021-04-21 09:30:00,604.75,607.05,608.09,604.09,58712792,97022,157
2021-04-21 12:00:00,610.563,609.87,610.563,609.7,3467084.5,5683,34
2021-04-22 09:30:00,615,615.56,617.543,614.95,54951716,89275,174
2021-04-22 12:00:00,609.6,609.32,609.6,609.32,609421,1000,8
2021-04-23 09:30:00,597.375,599.58,599.61,596.01,51419372,86026,129
2021-04-23 12:00:00,606.3,606.59,606.59,606.231,1303621.25,2150,16
2021-04-26 09:30:00,607.402,609.57,609.8,606.7,60804752,100137,118
2021-04-26 12:00:00,614.3,614.59,614.74,614.282,4359158,7093,43
2021-04-27 09:30:00,623.14,621.71,624.34,621.514,53505572,85861,161
2021-04-27 12:00:00,617.685,617.82,617.91,617.61,3545150.75,5739,28
2021-04-28 09:30:00,614.58,614.09,615.06,613.39,40749260,66314,72
2021-04-28 12:00:00,611.935,611.69,612,611.5,5471624,8944,52
2021-04-29 09:30:00,616,616.15,617.46,615.26,41605948,67533,146
2021-04-29 12:00:00,606.81,605.51,606.909,605.35,8404906,13869,56
2021-04-30 09:30:00,606.98,609.61,609.8,605.95,35549724,58589,79
2021-04-30 12:00:00,608.59,608.53,608.67,608.53,760755.75,1250,12
2021-05-03 09:30:00,605,607.19,607.32,604.65,45836080,75684,235
2021-05-03 12:00:00,595.47,595.8,595.82,595.096,2487976.75,4179,32
2021-05-04 09:30:00,585.49,581.491,585.49,580.72,66210120,113380,353
2021-05-04 12:00:00,562.74,563.681,563.79,562.514,4274243.5,7591,40
2021-05-05 09:30:00,588.36,588.98,589.5,586.25,94357696.0,160390.0,479.0
2021-05-05 12:00:00,589.91,590.0,590.28,589.84,4206252.5,7128.0,34.0
2021-05-06 09:30:00,579.81,578.9,580.0,577.52,47087848.0,81244.0,129.0
2021-05-06 12:00:00,580.13,580.005,580.13,579.76,2493525.5,4300.0,29.0
2021-05-07 09:30:00,592.33,589.3,593.47,589.17,63688648.0,107497.0,303.0
2021-05-07 12:00:00,596.13,595.5,596.13,595.405,2701280.75,4535.0,23.0
2021-05-10 09:30:00,591.49,587.8,592.24,587.8,53865656.0,91147.0,144.0
2021-05-10 12:00:00,578.32,578.058,578.441,578.058,4928481.5,8522.0,16.0
2021-05-11 09:30:00,553.0,553.0,553.22,550.0,117224520.0,212320.0,522.0
2021-05-11 12:00:00,567.785,567.27,568.148,567.27,2163328.75,3811.0,24.0
2021-05-12 09:30:00,560.38,563.0,563.0,559.9,51447156.0,91757.0,216.0
2021-05-12 12:00:00,555.59,555.94,556.222,555.56,8741269.0,15723.0,58.0
2021-05-13 09:30:00,561.35,562.046,562.046,558.51,78516656.0,139974.0,245.0
2021-05-13 12:00:00,546.45,545.2,546.59,545.2,2889480.5,5291.0,31.0
2021-05-14 09:30:00,555.6,554.9,556.093,554.88,56445300.0,101596.0,177.0
2021-05-14 12:00:00,564.055,563.57,564.055,563.57,1477399.25,2620.0,15.0
2021-05-17 09:30:00,566.28,563.455,566.756,562.45,72024544.0,127387.0,247.0
2021-05-17 12:00:00,557.78,557.6,557.87,557.4,5755560.0,10321.0,65.0
2021-05-18 09:30:00,570.68,568.01,571.46,568.0,57697900.0,101144.0,237.0
2021-05-18 12:00:00,567.79,568.02,568.05,567.688,2688102.5,4733.0,26.0
2021-05-19 09:30:00,542.66,544.215,544.49,541.73,105817192.0,194874.0,663.0
2021-05-19 12:00:00,552.89,552.21,552.89,551.97,2666158.5,4827.0,29.0
2021-05-20 09:30:00,572.1,573.5,573.59,570.82,81591488.0,142586.0,517.0
2021-05-20 12:00:00,583.36,582.75,583.37,582.75,4356195.0,7471.0,44.0
2021-05-21 09:30:00,606.55,605.761,607.75,605.23,243962000.0,402462.0,1380.0
2021-05-21 12:00:00,597.08,597.05,597.725,597.0,17428990.0,29180.0,102.0
2021-05-24 09:30:00,608.5,610.038,612.29,607.04,219839040.0,361007.0,947.0
2021-05-24 12:00:00,625.05,625.6,625.6,625.05,5577955.0,8920.0,54.0
2021-05-25 09:30:00,630.64,629.1,630.76,628.5,134713344.0,213799.0,409.0
2021-05-25 12:00:00,624.45,624.08,624.6,624.01,7903512.5,12660.0,56.0
2021-05-26 09:30:00,629.37,631.16,631.25,628.6,98707712.0,156795.0,384.0
2021-05-26 12:00:00,627.505,627.77,627.8,627.505,2369926.75,3776.0,25.0
2021-05-27 09:30:00,627.99,624.36,628.164,623.829,150615584.0,240270.0,734.0
2021-05-27 12:00:00,623.445,623.67,623.9,623.445,6107671.0,9793.0,46.0
2021-05-28 09:30:00,620.04,622.04,622.32,620.04,86054976.0,138589.0,276.0
2021-05-28 12:00:00,644.16,644.16,644.46,644.018,7337931.0,11391.0,64.0
2021-06-01 09:30:00,650.8,650.35,651.5,649.135,172431296.0,264955.0,636.0
2021-06-01 12:00:00,644.37,644.49,644.62,643.586,5234443.0,8125.0,48.0
2021-06-02 09:30:00,650.09,651.362,652.13,649.42,86255096.0,132598.0,319.0
2021-06-02 12:00:00,676.07,675.905,676.7,675.89,13437134.0,19870.0,94.0
2021-06-03 09:30:00,668.03,666.97,668.76,666.35,111616936.0,167127.0,400.0
2021-06-03 12:00:00,679.64,680.685,681.0,679.61,44403300.0,65292.0,366.0
2021-06-04 09:30:00,684.5,690.6,690.82,683.82,169422992.0,246850.0,854.0
2021-06-04 12:00:00,705.54,704.621,705.81,704.58,19907672.0,28233.0,136.0
2021-06-07 09:30:00,702.846,708.34,708.68,701.75,156383696.0,222287.0,637.0
2021-06-07 12:00:00,694.55,694.86,694.92,694.32,25165016.0,36227.0,126.0
2021-06-08 09:30:00,701.09,704.08,704.864,700.0,87450040.0,124606.0,271.0
2021-06-08 12:00:00,693.815,692.78,693.815,692.78,5446145.5,7855.0,43.0
2021-06-09 09:30:00,700.63,699.456,702.84,699.02,102623776.0,146378.0,305.0
2021-06-09 12:00:00,696.92,696.558,697.18,696.52,16341532.0,23448.0,80.0
2021-06-10 09:30:00,694.0,693.945,695.373,692.01,74584864.0,107502.0,254.0
2021-06-10 12:00:00,695.054,695.351,695.47,694.8,2482547.5,3571.0,25.0
2021-06-11 09:30:00,699.18,698.76,699.32,697.75,68981792.0,98676.0,97.0
2021-06-11 12:00:00,710.367,710.349,710.55,710.26,12831768.0,18063.0,90.0
2021-06-14 09:30:00,716.24,711.98,716.49,711.78,137820560.0,192700.0,507.0
2021-06-14 12:00:00,714.55,714.326,714.56,713.77,4486344.0,6282.0,25.0
2021-06-15 09:30:00,716.6,715.003,717.25,713.63,91507960.0,127744.0,271.0
2021-06-15 12:00:00,714.92,715.055,715.21,714.803,2316663.25,3240.0,16.0
2021-06-16 09:30:00,711.63,714.06,714.5,710.76,81690528.0,114685.0,248.0
2021-06-16 12:00:00,714.01,713.8,714.13,713.8,778295.75,1090.0,9.0
2021-06-17 09:30:00,710.983,712.56,712.89,710.25,76003584.0,106861.0,281.0
2021-06-17 12:00:00,748.889,748.25,749.06,747.35,35118440.0,46939.0,180.0
2021-06-18 09:30:00,751.36,750.0,753.99,748.72,422745984.0,562067.0,692.0
2021-06-18 12:00:00,763.78,763.784,764.727,763.5,16943942.0,22172.0,126.0
2021-06-21 09:30:00,737.41,739.992,741.46,736.61,195413856.0,264747.0,769.0
2021-06-21 12:00:00,723.31,724.19,724.21,723.21,8881932.0,12272.0,85.0
2021-06-22 09:30:00,738.86,741.885,745.5,737.725,162194768.0,218871.0,735.0
2021-06-22 12:00:00,753.425,753.985,754.158,753.2,9974212.0,13236.0,51.0
2021-06-23 09:30:00,760.31,759.72,761.47,758.68,139258464.0,183233.0,364.0
2021-06-23 12:00:00,764.175,764.5,764.5,764.175,5092891.0,6663.0,27.0
2021-06-24 09:30:00,769.11,772.89,772.974,769.11,119096232.0,154614.0,339.0
2021-06-24 12:00:00,772.525,772.505,772.525,772.37,1182592.875,1531.0,7.0
2021-06-25 09:30:00,771.22,772.435,773.82,771.02,77373376.0,100255.0,226.0
2021-06-25 12:00:00,764.36,764.101,764.51,764.0,4744891.0,6209.0,32.0
2021-06-28 09:30:00,774.45,778.87,779.29,772.76,184175472.0,237576.0,657.0
2021-06-28 12:00:00,799.14,798.818,799.202,798.755,4491062.0,5621.0,26.0
2021-06-29 09:30:00,795.3,794.302,798.1,793.76,160424480.0,201575.0,696.0
2021-06-29 12:00:00,794.833,794.593,795.195,794.57,6885589.5,8662.0,45.0
2021-06-30 09:30:00,799.965,803.67,806.5,799.23,122836400.0,153255.0,454.0
2021-06-30 12:00:00,796.909,797.108,797.108,796.57,916468.0,1150.0,9.0
2021-07-01 09:30:00,805.0,811.05,813.49,804.605,225005488.0,278665.0,946.0
2021-07-01 12:00:00,804.932,804.51,804.95,804.4,6439312.0,8002.0,43.0
2021-07-02 09:30:00,817.605,814.48,818.0,814.0,105228824.0,128838.0,324.0
2021-07-02 12:00:00,816.855,816.625,816.855,815.9,4413342.0,5407.0,39.0
2021-07-06 09:30:00,829.5,828.09,830.0,825.6,212621312.0,256484.0,648.0
2021-07-06 12:00:00,826.18,825.616,826.18,825.531,9613088.0,11642.0,43.0
2021-07-07 09:30:00,834.14,831.64,835.0,830.6,134924560.0,161887.0,352.0
2021-07-07 12:00:00,821.125,821.62,821.62,820.732,11495411.0,13997.0,58.0
2021-07-08 09:30:00,794.26,796.29,796.69,788.03,246641664.0,311159.0,827.0
2021-07-08 12:00:00,804.69,804.53,804.8,804.1,12356080.0,15359.0,97.0
2021-07-09 09:30:00,798.5,797.23,798.98,796.5,100211792.0,125526.0,200.0
2021-07-09 12:00:00,796.78,796.88,796.985,796.449,2755811.25,3459.0,23.0
2021-07-12 09:30:00,809.6,811.61,812.99,809.01,106002408.0,130793.0,296.0
2021-07-12 12:00:00,815.68,815.975,816.39,815.68,3344139.25,4098.0,28.0
2021-07-13 09:30:00,816.02,817.05,818.45,815.5,94041328.0,115197.0,265.0
2021-07-13 12:00:00,816.266,815.96,816.38,815.76,3847795.75,4715.0,39.0
2021-07-14 09:30:00,814.31,815.69,816.0,814.0,99705240.0,122422.0,238.0
2021-07-14 12:00:00,790.513,791.555,791.555,790.513,37651156.0,47601.0,204.0
2021-07-15 09:30:00,792.47,791.9,793.88,790.15,100729880.0,127150.0,210.0
2021-07-15 12:00:00,770.8,770.359,771.37,770.359,30173270.0,39143.0,140.0
