Dates,AMZN,NFLX,TSLA
2021-05-20,0.0019309359341941905,0.002710135108206157,0.02388731714049147
2021-05-21,0.0021776976307398615,-9.98582013539864e-05,-0.005662805662805585
2021-05-24,0.004291001796876138,0.0015875850846380395,0.014377103255256048
2021-05-25,0.010089561457689954,0.0014983518130056938,0.010006003602161298
2021-05-26,-0.01057617854702799,-0.0015329484371890078,0.0005617166059478128
2021-05-27,-0.005465437788018422,0.0015528877739950481,0.01739074322035261
2021-05-28,-0.0008012277274099725,-0.013591433278418465,0.0019835556835269045
2021-06-01,0.0007012470406444703,-0.0023686972165309125,-0.003728328092872238
2021-06-02,-0.005665634674922657,-0.009497449906742927,-0.004578340306235367
2021-06-03,0.0016116991869664305,0.004454525020944455,-0.03541811075571448
2021-06-04,-0.005853758729289316,-0.013150531617235672,-0.00037095740734481103
